,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
track_name,1.0,0.9999822754082287,1.0,1.0,0.9634271713115693,0.9772745718438351,1.0,0.0,1.0,0.9959645367790887,0.7457624937630462,0.9994870098793189,0.0,0.0,0.92641266267009,0.9734843969060268,0.7020874566654227,0.9857219093727663,0.9348693698423678,0.9930339109554001,0.9225287479498863,0.0,0.9978234821635041,1.0,0.9999018282427148
artist(s)_name,0.9999822754082287,1.0,1.0,0.9910557667836392,0.8874474959629309,0.8802797934387975,0.8196500939506663,0.835589275085212,1.0,0.8874388749655849,0.8424874617083017,0.9797690822254728,0.9170055035491838,0.9792865575169725,0.0,0.21940312637279902,0.48537012882060204,0.0,0.4692262812739858,0.0,0.0,0.7930785240255073,0.7956265428974119,0.8740233104447354,0.9986261616786422
artist_count,1.0,1.0,1.0,0.0,0.09122090985875725,0.09947443387791846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19543936429627212,0.10545428687812998,0.09961266602121512,0.1962160090974061,0.04648860976719521,0.0,0.0,0.18899651557214495,0.0,0.12298889710854119,0.0
released_year,1.0,0.9910557667836392,0.0,1.0,0.17041838791019706,0.2997226681050566,0.7433171237433205,0.0,1.0,0.33569075235459034,0.27363582323145563,0.9331063577677766,0.0,0.0,0.0,0.0,0.08116302681248659,0.4337845525399169,0.20520742357386623,0.47996774638153644,0.43374409867700686,0.2880329255420571,0.0,0.0,0.9486877020782427
released_month,0.9634271713115693,0.8874474959629309,0.09122090985875725,0.17041838791019706,1.0,0.5652686356337582,0.33357515730441917,0.2368285804919852,1.0,0.22034580439613932,0.21128204437302797,0.0,0.1571390997580303,0.3932842170188129,0.0,0.09831086029790714,0.0,0.0,0.0,0.18244512372072302,0.2155583106189251,0.153204198183601,0.0,0.044900869501369185,0.8876447091371559
released_day,0.9772745718438351,0.8802797934387975,0.09947443387791846,0.2997226681050566,0.5652686356337582,1.0,0.2219157181532905,0.22261827255965316,1.0,0.11094325494711751,0.1583020270023321,0.0,0.0,0.0,0.0,0.21857691263572662,0.15442452514736896,0.12230037769312338,0.0,0.0338117605281364,0.0,0.0,0.0,0.10196383301287411,0.8685937033376362
in_spotify_playlists,1.0,0.8196500939506663,0.0,0.7433171237433205,0.33357515730441917,0.2219157181532905,1.0,0.0,1.0,0.6648461582810264,0.2883803834986363,0.9991448541029564,0.15904075484779148,0.9234967605243206,0.0,0.0,0.05723974950057833,0.2609947786816903,0.10800815556263492,0.2629697128155394,0.12016575180483728,0.12464533740976659,0.0,0.0,0.9742945000284701
in_spotify_charts,0.0,0.835589275085212,0.0,0.0,0.2368285804919852,0.22261827255965316,0.0,1.0,1.0,0.30363560976838505,0.762790280398735,0.8040576877556014,0.7220100506623364,0.9674381726589592,0.0,0.08661573142118671,0.0,0.0,0.20763918556489477,0.0,0.0,0.23884786601726146,0.0,0.0,0.9222624024795122
streams,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
in_apple_playlists,0.9959645367790887,0.8874388749655849,0.0,0.33569075235459034,0.22034580439613932,0.11094325494711751,0.6648461582810264,0.30363560976838505,1.0,1.0,0.326562636089685,0.9954735657918425,0.3863931107647925,0.8756707458413798,0.0,0.0820309470845598,0.0,0.07745372031751124,0.10522868338523768,0.0,0.0,0.0,0.0,0.0,0.9531599080844205
in_apple_charts,0.7457624937630462,0.8424874617083017,0.0,0.27363582323145563,0.21128204437302797,0.1583020270023321,0.2883803834986363,0.762790280398735,1.0,0.326562636089685,1.0,0.33658354810641006,0.43309605065400014,0.9552164802542582,0.0,0.0,0.0,0.0,0.1370894866949892,0.0,0.0,0.2779117581190785,0.0,0.0,0.9446757256442595
in_deezer_playlists,0.9994870098793189,0.9797690822254728,0.0,0.9331063577677766,0.0,0.0,0.9991448541029564,0.8040576877556014,1.0,0.9954735657918425,0.33658354810641006,1.0,0.9467774527717252,0.9914254778593291,0.0,0.0,0.0,0.5825377121050458,0.3009488814908406,0.5922987310317717,0.0,0.7318932507050441,0.0,0.0,0.9957955550046794
in_deezer_charts,0.0,0.9170055035491838,0.0,0.0,0.1571390997580303,0.0,0.15904075484779148,0.7220100506623364,1.0,0.3863931107647925,0.43309605065400014,0.9467774527717252,1.0,0.9668287885233116,0.0,0.05661506972733849,0.0,0.0,0.10383429909779626,0.07376567784417787,0.0,0.11646607402158889,0.0,0.0,0.0
